Label,Area_um2,EquivalentDiameter_um,Orientation_deg,MajorAxisLength_um,MinorAxisLength_um,Perimeter_um,MinIntensity,MeanIntensity,MaxIntensity
11,186.12274800000003,15.394117153262718,-85.51922816054883,18.80212328310836,12.789326967319095,52.9221182926954,50.0,92.29125138427464,145.0
12,228.17041200000003,17.044517930904192,52.09461898853519,18.053091439068577,16.126122188859,57.26070082318664,53.0,155.15266485998194,254.0
13,191.27564800000002,15.60575916059335,-77.5039607709299,17.758734384943168,13.90063905192934,56.086753780504026,43.0,88.49676724137932,142.0
14,318.243104,20.129572892937027,71.42782378013588,24.24839925832457,16.913751590493558,70.72491265245617,49.0,113.84261658031087,205.0
15,295.57034400000003,19.399274476943088,4.4246256825352095,25.311745156859292,15.021376129049287,72.11917743904311,48.0,120.20990237099024,199.0
16,184.67993600000003,15.33433394818174,-23.24743747151357,20.17397767468149,12.07124258533535,56.443959420743255,57.0,184.99665178571428,255.0
17,298.86820000000006,19.50719895074169,89.56721023143051,23.713240204105702,16.28926494847814,68.53280673782142,42.0,116.50896551724138,225.0
18,267.9508,18.470667410882115,25.45428365791033,21.209330198184013,16.48798889807533,65.27691265245619,48.0,131.25615384615384,234.0
19,186.328864,15.402638669084597,-67.26408823341946,20.708395962495675,11.667870506221748,54.95843603659972,43.0,95.74004424778761,156.0
20,180.969848,15.179524593290518,-39.43071379572661,17.835865477875,13.299688831615795,55.82080673782142,39.0,100.66970387243735,155.0
21,189.008372,15.512992410119148,-85.53432693781168,19.574767103299358,12.351690516163316,54.31638307928233,49.0,91.50272628135224,155.0
22,196.428548,15.814569075017792,-81.77577236735793,19.12543284208676,13.252568530902462,58.70059490855187,44.0,79.98426023084994,124.0
23,214.36064000000002,16.52066716820898,-61.34490616172602,24.882626197264354,11.543764971876033,65.95123039636049,50.0,82.25769230769231,139.0
24,180.55761600000002,15.16222598414581,-73.42539609291454,20.889176068133924,11.487948318231691,58.40238307928234,46.0,94.09132420091325,140.0
25,223.017512,16.850955920862432,-22.271480836747966,19.105009765056693,14.936753632514346,59.34264786586926,51.0,151.25415896487985,255.0
26,278.874948,18.843423569764656,65.7993819366054,22.387146262242275,16.29208590212383,67.46901856709096,44.0,118.2609016999261,204.0
27,371.00880000000006,21.734375436270053,-59.39672410025527,32.52249344842355,16.968805859033296,94.68228954270819,45.0,96.34555555555555,148.0
28,262.179552,18.270669758587093,46.91373536253751,24.737321547724918,14.522079860838856,76.83386588416913,46.0,126.7625786163522,225.0
29,209.20774000000003,16.320893591733032,68.52365468420555,22.48275553578924,12.908771860553205,61.534753780504026,48.0,85.45812807881774,143.0
30,192.71846000000002,15.664506512254436,79.36491180067297,19.684158376056605,12.61064296742414,53.60980054879109,47.0,88.77860962566845,148.0
31,994.3035840000001,35.58070604443792,89.19257097218625,57.357964049660524,28.022028569155943,201.23587653969233,37.0,95.85903814262024,200.0
32,164.89280000000002,14.489583624180035,83.61720361227395,22.974585002993383,9.613454001914791,65.38707152440834,48.0,92.5925,156.0
33,234.76612400000002,17.289115444145743,67.91914644620466,21.016398685481242,14.76280992444837,63.75912448172572,52.0,96.54170324846356,176.0
34,165.09891600000003,14.498636785715714,-56.70753247121597,15.974370877849704,13.638926427655194,50.918065335378024,42.0,103.46566791510612,182.0
35,203.64260800000002,16.10235453275704,81.79806882803283,20.87390908581183,12.896127953972108,62.97464786586926,46.0,71.66599190283401,125.0
36,239.71290800000003,17.470316363737147,-68.77937398007494,23.31019918845745,13.409433531031205,64.97870082318664,54.0,141.79793637145315,235.0
37,239.71290800000003,17.470316363737147,25.297301522597262,21.9668520360376,13.926732263900984,60.93833012196496,45.0,87.69131556319863,162.0
38,302.57828800000004,19.627904668096008,2.3989883677846704,22.83261418500849,16.936933055211746,65.10222420733018,48.0,88.89237057220708,156.0
39,274.34039600000006,18.68959713063672,43.24331990699121,24.858886360532534,14.34436263926451,73.88954814026482,42.0,76.8061607813674,145.0
40,227.96429600000002,17.03681767393523,60.8091704212348,26.307334720610907,12.543346902083394,75.50136278965395,53.0,130.12839059674502,221.0
41,257.026652,18.09023209849125,-1.0055219960429478,21.538681898039464,15.224569107863374,61.58038307928232,41.0,90.61668003207699,148.0
42,181.17596400000002,15.188166509500554,61.54696383031074,17.253667726665718,13.449218569151967,53.22033012196495,41.0,99.60295790671218,153.0
43,190.451184,15.572089738067678,-24.12195982527332,18.853182164561012,13.936717913088268,63.3668861737975,43.0,73.99675324675324,117.0
44,177.67199200000002,15.040578652640644,-5.489004112351725,19.55054031824475,12.235914093524489,66.13928335367788,39.0,79.84686774941996,151.0
45,160.77048000000002,14.3073174551365,18.961824397197848,23.441599759730074,9.989527114504522,67.34549518294742,50.0,78.51794871794871,133.0
46,214.77287200000004,16.53654479529334,83.92154894786577,18.4229126259892,15.531088118478936,60.360806737821406,41.0,80.13819577735124,138.0
47,286.913472,19.113073496109017,-36.616137006624996,25.93930397298928,14.427980938785469,75.92586588416913,46.0,82.4367816091954,137.0
48,224.66644000000002,16.913136781297244,52.682164913967505,24.300231810868,12.589876186266876,75.8479717988039,44.0,70.85963302752293,146.0
49,168.602888,14.651684693514042,-0.041159022646509585,19.61542127167885,11.356137175819187,57.4621182926954,48.0,89.98288508557457,149.0
50,245.07192400000002,17.66451994652361,55.65104024069135,26.78551440412123,12.078417228434956,76.7559717988039,43.0,75.09671993271657,137.0
51,212.29948000000002,16.44104903169843,-56.91989644998867,22.531955924531815,12.367128324349022,65.27691265245619,42.0,72.8126213592233,128.0
52,220.338004,16.749419688479193,-55.31293272558033,23.499701948421865,12.068739082828511,64.4145419512345,45.0,75.29840972871843,115.0
53,202.40591200000003,16.05338628597049,58.468720399128614,25.1496270744753,10.579323443619357,66.60941574697134,46.0,85.92464358452139,142.0
54,163.44998800000002,14.426052415962165,16.504721560936716,18.617257853062437,11.725924678021448,58.5448067378214,45.0,79.19546027742749,121.0
55,176.847528,15.00564114052642,84.32949018171594,21.91320071727181,11.92051216133723,64.57033012196496,44.0,78.53846153846153,130.0
56,212.71171200000003,16.457003474105395,29.96165367194877,19.987645500185682,13.664818561106062,59.34264786586926,42.0,91.49612403100775,156.0
57,23.291108,5.445655125537929,86.43329930148936,6.0472718659029425,5.154999919032935,20.088926753054242,53.0,109.95575221238938,178.0
58,277.01990400000005,18.780646859241525,66.47257802113944,24.60045399542277,14.52584889662952,67.35885969513879,32.0,126.16071428571429,249.0
59,202.81814400000002,16.069725614664076,-74.8871421988481,22.946040158657436,11.474758280418179,58.590436036599726,44.0,86.1808943089431,130.0
60,167.160076,14.588859416148175,82.67834387954947,23.9643168190105,9.374624003336312,60.51659490855187,54.0,110.40690505548706,174.0
61,199.10805600000003,15.922068036990147,-47.72082332184552,19.52751600607642,14.442553574318332,64.74501856709095,42.0,81.12215320910973,138.0
62,143.86896800000002,13.534388028937167,66.59878397293662,19.52610086205789,9.903247549964819,51.93622420733018,40.0,116.89541547277938,221.0
63,279.69941200000005,18.87125729774179,66.77718297476542,22.364158857959787,15.949584415435144,63.24059490855187,43.0,87.78113485630067,152.0
64,176.023064,14.970622093628855,-60.4616804235665,18.419904760077703,12.32337700695844,52.39022420733018,50.0,96.59133489461358,148.0
65,135.62432800000002,13.140862134492256,42.25804232098965,16.731673071840746,10.843799896723846,49.29011829269541,49.0,124.57294832826747,191.0
66,132.738704,13.000314113501087,27.027270823553668,16.97200292544078,10.02975328844038,46.721906463425874,52.0,122.48136645962732,205.0
67,185.09216800000002,15.351438620479978,16.25904748468617,22.40000567745996,10.707662846525885,56.66427716464756,46.0,92.77839643652561,154.0
68,205.08542000000003,16.159296605750498,41.92860899524609,21.497647187788054,12.617754228822115,63.428647865869245,40.0,80.78793969849247,141.0
69,237.44563200000002,17.38750034901604,89.7042648047129,19.40264233768426,15.624358799833644,57.57227716464756,41.0,109.62847222222223,189.0
70,139.74664800000002,13.339076372739795,-47.25808065177143,16.203163657105755,11.081885750475859,46.987853506108486,49.0,123.32743362831859,197.0
71,145.517896,13.611728018655777,-13.54793714047349,21.66167518032343,8.819380430363196,54.26798589940194,46.0,109.08640226628896,162.0
72,301.54770800000006,19.594449888931603,67.21361719705936,22.13380270198678,17.377346102671023,67.17080673782141,39.0,102.83048530416951,190.0
73,192.30622800000003,15.64774406067713,45.379711978026045,32.473950575512845,8.373883322800209,74.98560109758219,44.0,78.34619506966774,133.0
74,149.640216,13.803182259678795,-30.955342274277733,18.374776292071115,10.850420977238985,50.652118292695405,52.0,114.01652892561984,161.0
75,192.512344,15.656127529835052,42.505481750481884,17.683256326215076,14.220033975632843,56.0544889939171,44.0,88.2441113490364,158.0
76,188.80225600000003,15.504531546435437,-56.80484486673726,19.173629832435005,13.310359384864569,58.21433012196494,42.0,88.72707423580786,134.0
77,202.81814400000002,16.069725614664076,57.12584811319423,21.640994179059174,12.796334451907589,59.920171250012785,43.0,80.85975609756098,136.0
78,200.550868,15.979652557817447,-0.7232022569487009,19.805504210604088,12.944612030438385,55.004065335378016,41.0,92.75642343268242,151.0
79,160.564364,14.298143156370024,13.171102396617053,17.766522704581263,12.222248545414057,53.486277164647554,42.0,122.76765083440309,201.0
80,206.94046400000002,16.23221433356039,47.83982260442489,18.90485148570314,14.15234474208493,56.13238307928233,45.0,87.65438247011951,146.0
81,193.33680800000002,15.689616610945903,82.45023909350071,22.013093287795876,11.791090894555982,61.580383079282335,49.0,85.18443496801706,139.0
82,242.39241600000003,17.567686512318467,76.1588899522143,21.430629693434476,14.443543272563247,61.80070082318664,52.0,123.16666666666667,255.0
83,212.50559600000003,16.44902818724299,-25.55116751911012,23.84716450611668,11.707273463560641,65.23128335367788,38.0,86.73811833171678,139.0
84,223.017512,16.850955920862432,37.67453399919743,22.139685920349933,13.687601264814607,65.91896560977358,37.0,78.1173752310536,129.0
85,216.83403200000004,16.615705347254135,-6.060676733089563,20.94044365559093,13.433482278193482,58.05854195123449,47.0,85.90589353612167,145.0
86,209.61997200000002,16.336965376613783,-0.7932998318941447,17.87385841549604,15.12499757389975,55.22438307928233,50.0,90.79547689282202,132.0
87,16.283164000000003,4.5532810497714715,33.87523519631005,5.576979073000352,4.636038164358955,17.348794359760777,55.0,67.64556962025317,81.0
88,70.90390400000001,9.501455385829356,61.548420107126404,12.55299593364675,7.49178743053635,37.03211829269541,52.0,86.43313953488372,131.0
89,108.62313200000001,11.760240947165475,-11.054930096179687,17.44609597336005,8.528816177217754,46.754171250012796,43.0,90.3168880455408,141.0
90,150.05244800000003,13.822181831314357,56.91771792744399,18.475516849197906,10.359169242410239,48.75822420733018,60.0,114.02747252747253,158.0
91,173.343556,14.856240113979519,-3.553387148588796,15.81193927111663,14.101179097837548,50.46406533537802,47.0,98.96432818073721,156.0
92,164.89280000000002,14.489583624180035,-31.65637837109562,18.64332400590026,11.495220799990019,54.16059490855188,51.0,84.4375,139.0
93,227.55206400000003,17.021406709520416,-80.58918042491403,19.31224455412173,15.337434703906766,57.572277164647566,42.0,85.14673913043478,140.0
94,36.894764,6.853894697066134,-54.23747544309491,7.708478275215871,6.175888313149735,23.17290027439555,50.0,77.74301675977654,113.0
95,170.664048,14.74097061859157,-23.309002813283165,17.141988228866975,12.772655379838547,51.1061182926954,51.0,102.23671497584542,146.0
96,173.961904,14.882713981334929,-38.21799383425302,18.313260899191736,12.38845461391224,56.462859695138796,50.0,99.3175355450237,176.0
97,239.50679200000002,17.462803864415914,-88.3282239707454,22.687052499896385,13.75733644734961,65.38707152440834,39.0,121.51893287435456,193.0
98,228.17041200000003,17.044517930904192,50.48770704654678,18.772379696328723,15.75813916849826,59.9201712500128,61.0,146.75971093044265,235.0
99,242.80464800000001,17.582618675245776,52.24144351982677,23.164508353176323,13.488373345729045,64.25875378050402,42.0,134.68760611205434,208.0
100,229.61322400000003,17.09832263091713,-67.28442462631074,20.050844078843003,15.0828247673664,62.97464786586926,53.0,152.96140035906643,255.0
101,205.08542000000003,16.159296605750498,54.90282959952651,20.51368670519667,12.954975698452799,55.33454195123449,49.0,84.74472361809045,142.0
102,202.40591200000003,16.05338628597049,-37.806925671740906,17.905433398821305,15.336045555838078,64.88744222563004,44.0,77.42362525458249,129.0
